ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-aurin-f805be65-8544-4cee-bdf4-35446a12480e,Government of South Australia - Attorney-General's Department,,
org-aurin-f861f467-e286-4830-a20a-df39891e1e3f,Clean Air Landscape,Y,
org-aurin-f92fa90a-e558-4750-8b64-099401014295,Government of South Australia - Department for Communities and Social Inclusion,,
org-aurin-fa173c72-0297-4c9f-b938-37027adaf2ea,Government of the Commonwealth of Australia - Department of the Environment and Energy,Part,
org-aurin-fbc409a5-d824-4e28-b945-2db60dea65c0,Internode Pty. Ltd.,,
org-brisbane-18f5558f-4c16-4fe2-a7a2-4f7732c6b8a6,Brisbane Parking Stations,,
org-brisbane-65a20c4d-db83-457c-a3be-460a8a3013eb,Brisbane Lifestyle,Part,
org-brisbane-7d6949a9-58a4-4e20-9e39-3fb5914ef803,Organisational Services,,
org-brisbane-a13007df-670e-4c44-823f-243e7bba6af2,City Planning and Sustainability,Part,
org-brisbane-aa7b31a6-4114-4998-a507-66ecd9dd301f,Brisbane Infrastructure,Part,
org-brisbane-c545f9ac-af07-4b67-85bd-aa93c2d028d8,Brisbane Transport,,
org-brisbane-c74c9aea-80db-46dd-b37f-baa2930b4425,City Administration and Governance,Part,
org-cerdi-6bc21c15-db34-4ea4-b7de-896ce3be4e29,City of Ballarat,Part,
org-cerdi-86122019-6562-45bc-afa9-d137d6ce0e4f,Centre for eResearch and Digital Innovation,,
org-cerdi-cc9becab-7996-46cd-a389-16942154c81c,Federation University Australia,Part,
org-dap-CSIRO,The Commonwealth Scientific and Industrial Research Organisation,Y,
org-dga-00214130-ba8f-45ca-95f6-d9d8162a508c,City of Darwin,Part,
org-dga-00c5df95-434b-4cfd-831a-133afa800a5c,"College of Marine And Environmental Sciences (CMES), James Cook University (JCU)",Y,
org-dga-01302dc0-2015-4d27-97d6-6371d57fb365,Department of Finance,,
org-dga-0177ea07-4912-4a66-938b-d2e70a36072c,International Research Institute for Climate and Society (IRI),,
org-dga-020f55c4-1cc1-4318-a322-4788e8150d6f,Australian Institute of Criminology,,
org-dga-0224ff81-d80e-46fd-b792-01cb465599c6,"Department of Applied Geology, Curtin University",Y,
